epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6847,2.90996,3.33786,3.21395,0.63033,0.49963,0.53708,0.31157,1.71549,1.90914,2.27778,0.000414798,0.000414798,0.000414798
2,98.1548,1.67359,1.56356,1.92961,0.68325,0.58912,0.66715,0.38915,1.61214,1.59998,1.97946,0.000823233,0.000823233,0.000823233
3,145.215,1.51922,1.38582,1.73953,0.72695,0.64651,0.72791,0.43173,1.46661,1.40923,1.79937,0.00122342,0.00122342,0.00122342
4,191.998,1.43826,1.30953,1.65084,0.72467,0.71007,0.7868,0.52242,1.30797,1.24576,1.63808,0.00121287,0.00121287,0.00121287
5,239.659,1.32741,1.22287,1.54445,0.80784,0.70212,0.79897,0.54123,1.24771,1.1465,1.56716,0.0012005,0.0012005,0.0012005
6,286.594,1.28474,1.14042,1.50753,0.82182,0.75723,0.83501,0.56508,1.27264,1.08654,1.5875,0.00118812,0.00118812,0.00118812
7,333.475,1.2384,1.07314,1.45781,0.85817,0.7229,0.82843,0.58965,1.14979,1.06444,1.49571,0.00117575,0.00117575,0.00117575
8,380.518,1.1821,1.03974,1.41289,0.85864,0.76174,0.8558,0.61376,1.15114,1.00954,1.4923,0.00116337,0.00116337,0.00116337
9,426.776,1.16934,0.99784,1.40595,0.77853,0.76219,0.83065,0.587,1.16788,1.04148,1.5145,0.001151,0.001151,0.001151
10,472.322,1.12136,0.9853,1.38403,0.83818,0.81257,0.8705,0.62473,1.1344,0.95951,1.47447,0.00113863,0.00113863,0.00113863
11,518.441,1.14244,0.95326,1.37995,0.86812,0.78001,0.86931,0.63115,1.08765,0.89155,1.4217,0.00112625,0.00112625,0.00112625
12,564.58,1.08548,0.91211,1.35109,0.81963,0.80801,0.86323,0.63303,1.06824,0.93883,1.42007,0.00111388,0.00111388,0.00111388
13,610.682,1.05488,0.8714,1.31401,0.82431,0.83153,0.87906,0.64351,1.06906,0.86941,1.405,0.0011015,0.0011015,0.0011015
14,656.736,1.05988,0.90015,1.34805,0.79346,0.80109,0.85068,0.62848,1.03934,1.02143,1.37543,0.00108913,0.00108913,0.00108913
15,33309.6,1.03231,0.85256,1.30213,0.89642,0.79526,0.88329,0.66305,1.01433,0.85921,1.37113,0.00107675,0.00107675,0.00107675
16,33355,1.02105,0.82682,1.28648,0.87708,0.81216,0.89672,0.67403,0.98708,0.83215,1.3565,0.00106437,0.00106437,0.00106437
17,33400.4,1.00477,0.81946,1.2888,0.87387,0.8203,0.88472,0.6669,0.972,0.89408,1.33923,0.001052,0.001052,0.001052
18,33447.2,0.97982,0.80217,1.27491,0.8778,0.81919,0.88011,0.66892,0.96992,0.87157,1.33727,0.00103962,0.00103962,0.00103962
