epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.06,3.11094,4.89338,3.80237,0.0674,0.13948,0.04547,0.01584,2.94409,inf,6.72152,0.000414798,0.000414798,0.000414798
2,214.063,2.35252,3.29492,2.85561,0.35656,0.36158,0.32648,0.16164,1.9702,2.56964,2.79987,0.000823233,0.000823233,0.000823233
3,295.741,1.94735,2.56806,2.47722,0.44616,0.35482,0.29993,0.15118,1.843,3.66063,2.75492,0.00122342,0.00122342,0.00122342
4,382.542,1.75242,2.21865,2.28704,0.61909,0.49779,0.55587,0.3239,1.62143,1.8903,2.34323,0.00121287,0.00121287,0.00121287
5,513.136,1.64734,1.99047,2.17431,0.65924,0.57797,0.62763,0.39237,1.48971,1.64369,2.20308,0.0012005,0.0012005,0.0012005
6,624.716,1.54131,1.82347,2.06746,0.69653,0.54818,0.61625,0.39121,1.44681,1.69398,2.16138,0.00118812,0.00118812,0.00118812
7,740.241,1.46816,1.67571,1.98025,0.75142,0.5714,0.65617,0.42592,1.36236,1.52859,2.0696,0.00117575,0.00117575,0.00117575
8,838.98,1.39878,1.59821,1.9193,0.66856,0.60806,0.66594,0.44494,1.36287,1.54791,2.04759,0.00116337,0.00116337,0.00116337
9,946.418,1.37537,1.53903,1.89181,0.67966,0.63546,0.69671,0.47009,1.28733,1.53875,2.0006,0.001151,0.001151,0.001151
10,1075.63,1.31547,1.47319,1.84358,0.66514,0.60045,0.67569,0.44997,1.31864,1.53579,2.0106,0.00113863,0.00113863,0.00113863
11,1179.48,1.33019,1.41242,1.85299,0.74195,0.6299,0.72514,0.50602,1.26931,1.48043,1.95872,0.00112625,0.00112625,0.00112625
12,1276.75,1.26608,1.38606,1.77476,0.7772,0.67613,0.76578,0.54173,1.20872,1.32503,1.8802,0.00111388,0.00111388,0.00111388
13,1403.32,1.21627,1.28368,1.72055,0.75093,0.65854,0.75478,0.52455,1.21202,1.35349,1.87386,0.0011015,0.0011015,0.0011015
14,1506.36,1.23837,1.32889,1.75061,0.67642,0.67494,0.67503,0.47145,1.19594,1.65521,1.90097,0.00108913,0.00108913,0.00108913
15,1629.41,1.20318,1.22573,1.69487,0.76826,0.69959,0.78332,0.55732,1.16608,1.26084,1.83428,0.00107675,0.00107675,0.00107675
16,1742.08,1.18629,1.20988,1.68298,0.80984,0.69959,0.79851,0.57247,1.1633,1.22453,1.83741,0.00106437,0.00106437,0.00106437
17,1853.51,1.16452,1.19298,1.67127,0.67886,0.71864,0.67435,0.4868,1.13315,2.40024,1.80393,0.001052,0.001052,0.001052
18,1977.7,1.1364,1.16138,1.64046,0.8468,0.73538,0.82326,0.60875,1.09859,1.09171,1.75323,0.00103962,0.00103962,0.00103962
19,2072.83,1.15044,1.15322,1.65807,0.77349,0.72627,0.81127,0.61001,1.06909,1.20455,1.73683,0.00102725,0.00102725,0.00102725
20,2193.44,1.10514,1.11761,1.61058,0.83496,0.77007,0.84124,0.61892,1.0653,1.08422,1.73431,0.00101488,0.00101488,0.00101488
21,2293.21,1.09998,1.10418,1.60524,0.8559,0.72219,0.83718,0.63137,1.03733,1.10417,1.6923,0.0010025,0.0010025,0.0010025
22,2409.17,1.09303,1.08265,1.59183,0.84842,0.74962,0.83889,0.63053,1.06915,1.09511,1.73045,0.000990125,0.000990125,0.000990125
23,2502.85,1.09326,1.08325,1.58837,0.82725,0.76177,0.84151,0.62816,1.04666,1.07939,1.71317,0.00097775,0.00097775,0.00097775
24,2599.85,1.06487,1.03798,1.56308,0.83922,0.77063,0.85382,0.64271,1.01891,1.03059,1.66831,0.000965375,0.000965375,0.000965375
25,2699.38,1.06326,1.03357,1.56686,0.82006,0.74902,0.83192,0.62091,1.03552,1.02987,1.7132,0.000953,0.000953,0.000953
26,2806.75,1.08135,1.01955,1.5786,0.85797,0.77102,0.85332,0.65114,0.96697,0.97067,1.62937,0.000940625,0.000940625,0.000940625
27,2890.09,1.06742,1.00658,1.55756,0.87489,0.74652,0.85882,0.65276,1.00808,0.97404,1.67413,0.00092825,0.00092825,0.00092825
28,2992.94,1.03875,0.98805,1.54819,0.84953,0.77513,0.85926,0.65291,1.01851,1.01138,1.66431,0.000915875,0.000915875,0.000915875
29,3080.55,1.03212,0.99752,1.53292,0.83705,0.7814,0.84984,0.64143,1.01338,0.95917,1.67973,0.0009035,0.0009035,0.0009035
30,3163.67,1.04106,1.02242,1.52453,0.87264,0.78132,0.86405,0.66883,0.96247,0.89553,1.60701,0.000891125,0.000891125,0.000891125
31,3246.43,1.01939,0.95716,1.51356,0.8771,0.77814,0.86381,0.67499,0.94841,0.92669,1.58541,0.00087875,0.00087875,0.00087875
32,3331.28,0.99427,0.96538,1.49913,0.88172,0.76702,0.86752,0.66243,0.97701,0.8938,1.61241,0.000866375,0.000866375,0.000866375
33,3444.24,0.99724,0.93763,1.50303,0.89245,0.76614,0.87227,0.68876,0.91825,0.86189,1.55988,0.000854,0.000854,0.000854
34,3538.35,1.00619,0.93188,1.50619,0.87902,0.7965,0.87869,0.68171,0.95335,0.86279,1.58092,0.000841625,0.000841625,0.000841625
35,3636.23,0.99348,0.92737,1.48446,0.86662,0.80951,0.87504,0.69091,0.91541,0.84443,1.56148,0.00082925,0.00082925,0.00082925
36,3758.48,0.96242,0.91969,1.47601,0.88143,0.79313,0.86708,0.68288,0.918,0.86761,1.56516,0.000816875,0.000816875,0.000816875
37,3945.13,0.96392,0.88857,1.47673,0.87518,0.7983,0.88032,0.68592,0.95716,0.85436,1.59969,0.0008045,0.0008045,0.0008045
38,4046.89,0.96378,0.90917,1.44836,0.8891,0.79469,0.88228,0.69026,0.94263,0.8263,1.58204,0.000792125,0.000792125,0.000792125
39,4164.73,0.96472,0.89168,1.46826,0.87857,0.82321,0.8832,0.70393,0.89653,0.80058,1.52239,0.00077975,0.00077975,0.00077975
40,4274.69,0.94749,0.88961,1.45642,0.88681,0.79372,0.87528,0.69148,0.93736,0.85915,1.57509,0.000767375,0.000767375,0.000767375
41,4373.32,0.93487,0.87914,1.4374,0.88869,0.79688,0.88364,0.71017,0.88137,0.79938,1.52383,0.000755,0.000755,0.000755
42,4486.82,0.93547,0.85795,1.44626,0.88596,0.80745,0.88669,0.70006,0.91125,0.79468,1.54904,0.000742625,0.000742625,0.000742625
43,4589.67,0.91598,0.84393,1.42349,0.87171,0.82577,0.88812,0.70714,0.89597,0.80585,1.54145,0.00073025,0.00073025,0.00073025
44,4698.26,0.93629,0.84683,1.43196,0.87442,0.814,0.88292,0.699,0.91282,0.79435,1.55272,0.000717875,0.000717875,0.000717875
45,4780.77,0.92602,0.84509,1.43798,0.90059,0.81622,0.89224,0.70853,0.89445,0.79354,1.5297,0.0007055,0.0007055,0.0007055
46,4877.64,0.90891,0.82094,1.41975,0.8814,0.8207,0.88957,0.70925,0.88022,0.77744,1.51089,0.000693125,0.000693125,0.000693125
47,4990.37,0.9185,0.85294,1.4372,0.89192,0.81036,0.89438,0.70483,0.90989,0.77247,1.53845,0.00068075,0.00068075,0.00068075
48,5086.84,0.9014,0.82025,1.40485,0.88597,0.81356,0.89332,0.71503,0.8703,0.76071,1.49689,0.000668375,0.000668375,0.000668375
49,5189.06,0.89179,0.82117,1.39951,0.90345,0.80843,0.89752,0.71762,0.88482,0.76838,1.49827,0.000656,0.000656,0.000656
50,5294,0.89779,0.80817,1.39044,0.88742,0.81183,0.89215,0.71722,0.86783,0.77364,1.49182,0.000643625,0.000643625,0.000643625
51,5406.4,0.87324,0.7844,1.3809,0.87298,0.81166,0.88818,0.7086,0.89506,0.79007,1.51935,0.00063125,0.00063125,0.00063125
52,5507.06,0.89886,0.79922,1.39903,0.88592,0.82954,0.89788,0.72349,0.8509,0.75029,1.47179,0.000618875,0.000618875,0.000618875
53,5634.27,0.88026,0.79718,1.39283,0.89398,0.82947,0.89867,0.72108,0.86351,0.75947,1.48351,0.0006065,0.0006065,0.0006065
54,5801.59,0.87492,0.79153,1.39025,0.89628,0.83742,0.90073,0.72254,0.88197,0.74282,1.52528,0.000594125,0.000594125,0.000594125
55,5898.87,0.8665,0.77723,1.38415,0.87537,0.85212,0.90538,0.72758,0.86847,0.73927,1.51804,0.00058175,0.00058175,0.00058175
56,6005.08,0.84647,0.76113,1.36276,0.88959,0.8309,0.90558,0.73035,0.85418,0.717,1.4917,0.000569375,0.000569375,0.000569375
57,6097.7,0.84616,0.75876,1.35947,0.8945,0.82623,0.9048,0.73523,0.82055,0.70698,1.45656,0.000557,0.000557,0.000557
58,6218.87,0.87035,0.767,1.36885,0.89144,0.8274,0.89643,0.72296,0.86058,0.72907,1.50393,0.000544625,0.000544625,0.000544625
59,6327.02,0.85525,0.76159,1.36267,0.91141,0.8262,0.901,0.72623,0.88023,0.72286,1.52515,0.00053225,0.00053225,0.00053225
60,6437.93,0.85393,0.75897,1.35839,0.88271,0.85122,0.90425,0.73413,0.82762,0.70929,1.45686,0.000519875,0.000519875,0.000519875
61,6541.69,0.85754,0.76967,1.37593,0.91839,0.82953,0.90391,0.73683,0.83279,0.71961,1.44716,0.0005075,0.0005075,0.0005075
62,6654.07,0.83274,0.73574,1.34349,0.89964,0.83662,0.9003,0.73115,0.84531,0.71955,1.46509,0.000495125,0.000495125,0.000495125
63,6754.78,0.82801,0.74157,1.33564,0.88844,0.83799,0.9049,0.74259,0.80921,0.69998,1.43808,0.00048275,0.00048275,0.00048275
64,6847.56,0.83796,0.73629,1.33971,0.87947,0.83847,0.90424,0.73549,0.82891,0.69864,1.46841,0.000470375,0.000470375,0.000470375
65,6953.42,0.83806,0.746,1.35679,0.87942,0.85166,0.90223,0.73573,0.83819,0.71314,1.47661,0.000458,0.000458,0.000458
